seq
,0.003982, 0.007173, 0.016127, 0.042042, 0.111973, 0.399412, 1.791287, 6.420078
,0.004502, 0.007791, 0.016623, 0.046704, 0.116143, 0.413531, 1.783943, 6.257659
,0.003918, 0.006679, 0.016199, 0.043095, 0.108968, 0.397867, 1.811706, 6.389778
,0.005073, 0.00652, 0.015627, 0.044653, 0.112384, 0.40577, 1.869884, 6.414533
,0.003982, 0.006892, 0.015096, 0.041889, 0.116611, 0.403505, 1.80304, 6.816148
,0.004687, 0.006595, 0.018625, 0.042664, 0.109825, 0.404418, 1.791874, 6.729769
,0.004188, 0.006701, 0.017551, 0.045299, 0.112469, 0.395033, 1.828579, 6.78555


pth, num_threads, 4
grid_size, 32, 64, 128, 256, 512, 1024, 2048, 4096
,0.004456, 0.005674, 0.011515, 0.026856, 0.059724, 0.229204, 1.01534, 4.455014
,0.003829, 0.005664, 0.009311, 0.0283, 0.060941, 0.232309, 1.038429, 3.940971
,0.004942, 0.005775, 0.009956, 0.022449, 0.061784, 0.261189, 1.046059, 4.205642
,0.003528, 0.005913, 0.01149, 0.02718, 0.060655, 0.263759, 1.041336, 4.673001
,0.004216, 0.00575, 0.011905, 0.027773, 0.061304, 0.255684, 1.064669, 4.81772
,0.004054, 0.005906, 0.010822, 0.025201, 0.063819, 0.267876, 1.072563, 5.066086
,0.003993, 0.005779, 0.012423, 0.02974, 0.062424, 0.265969, 1.110442, 4.97618
,0.004266, 0.005846, 0.008502, 0.024723, 0.060014, 0.260832, 1.083867, 5.074877
,0.004254, 0.005435, 0.010811, 0.029775, 0.061951, 0.267137, 1.103492, 5.073607
,0.004819, 0.005886, 0.011312, 0.024645, 0.065801, 0.265836, 1.049283, 4.422336


pth, num_threads, 8
grid_size, 32, 64, 128, 256, 512, 1024, 2048, 4096
,0.008619, 0.008148, 0.012124, 0.026367, 0.064684, 0.224182, 0.976673, 3.550825
,0.008218, 0.008066, 0.014862, 0.027728, 0.054691, 0.260807, 1.002147, 3.60215
,0.007925, 0.007742, 0.012236, 0.024843, 0.061139, 0.224516, 1.009415, 2.993326
,0.008802, 0.008398, 0.013553, 0.026447, 0.063198, 0.259282, 1.033963, 3.358255
,0.007656, 0.008611, 0.011603, 0.025969, 0.061824, 0.257663, 1.021049, 3.704058
,0.008689, 0.008217, 0.015742, 0.027285, 0.060689, 0.260982, 1.038215, 4.089784
,0.007534, 0.008033, 0.010807, 0.027527, 0.06078, 0.260099, 1.044398, 4.36043
,0.007554, 0.008194, 0.013493, 0.030854, 0.058481, 0.262317, 1.057132, 4.1032
,0.007567, 0.00779, 0.01466, 0.028494, 0.059172, 0.258276, 1.052763, 4.933319
,0.007812, 0.008654, 0.014667, 0.02612, 0.062656, 0.261803, 1.095601, 4.639408


pth, num_threads, 16
grid_size, 32, 64, 128, 256, 512, 1024, 2048, 4096
,0.014685, 0.015143, 0.017063, 0.036737, 0.077792, 0.23197, 0.969573, 3.219653
,0.014376, 0.015682, 0.017949, 0.035806, 0.076862, 0.236473, 0.976735, 3.608243
,0.014008, 0.015653, 0.016291, 0.040474, 0.076594, 0.256262, 1.023112, 3.286355
,0.014671, 0.014924, 0.017245, 0.037922, 0.076023, 0.260525, 1.037453, 3.244967
,0.015745, 0.014643, 0.017355, 0.039178, 0.081457, 0.260395, 1.103004, 3.795028
,0.01477, 0.014992, 0.018475, 0.041309, 0.074751, 0.264406, 1.064246, 3.454602
,0.015144, 0.015362, 0.01641, 0.041812, 0.076059, 0.247438, 1.079727, 3.696096
,0.015212, 0.015761, 0.016319, 0.041903, 0.076079, 0.266677, 1.067446, 4.153957
,0.015093, 0.015229, 0.016204, 0.041571, 0.07578, 0.235801, 1.079622, 4.371063
,0.015092, 0.015137, 0.018765, 0.040815, 0.080293, 0.268018, 1.114182, 4.338758


pth, num_threads, 32
grid_size, 32, 64, 128, 256, 512, 1024, 2048, 4096
,0.029985, 0.028317, 0.032686, 0.03986, 0.072928, 0.238276, 0.945636, 3.261593
,0.029079, 0.028108, 0.032263, 0.039232, 0.067121, 0.240066, 0.977913, 3.508214
,0.02856, 0.029795, 0.034453, 0.037071, 0.065074, 0.268961, 0.982234, 3.071546
,0.029296, 0.029961, 0.031963, 0.037542, 0.066606, 0.272486, 0.99589, 3.345943
,0.029674, 0.029177, 0.031092, 0.038422, 0.067203, 0.268669, 1.000541, 3.52345
,0.030453, 0.028343, 0.030561, 0.035768, 0.071314, 0.27012, 1.012254, 3.550447
,0.029543, 0.029848, 0.034795, 0.040133, 0.086483, 0.277617, 1.001416, 3.723758
,0.028751, 0.029075, 0.032735, 0.03889, 0.06558, 0.277341, 1.035158, 4.062468
,0.028852, 0.028935, 0.033822, 0.040247, 0.066764, 0.274942, 1.025859, 3.99037
,0.029826, 0.030003, 0.035904, 0.039622, 0.069825, 0.277132, 1.066015, 4.049344

